day,customer_id,sale_kind,total_sales
2016-07-31,1000001,order,136.25
2016-08-01,1000002,order,57.85
2016-08-01,1000003,order,151.3
2016-08-01,1000004,order,110.36
2016-08-01,1000005,order,307.38
2016-08-01,1000006,order,93.74
2016-08-01,1000007,order,123.824
2016-08-01,1000008,order,84.6228
2016-08-01,1000009,order,119.2
2016-08-01,1000010,order,225.736
2016-08-01,1000011,order,281.16
2016-08-01,1000012,order,117.056
2016-08-01,1000013,order,167.904
2016-08-01,1000014,order,201.14
2016-08-01,1000015,order,140.61
2016-08-01,1000016,order,118.08
2016-08-01,1000017,order,250.408
2016-08-01,1000018,order,255.06
2016-08-01,1000019,order,126.44
2016-08-01,1000020,order,70.85
2016-08-01,1000021,order,119.808
2016-08-01,1000022,order,227.283
2016-08-01,1000023,order,59.904
2016-08-01,1000024,order,468.12
2016-08-01,1000025,order,158.05
2016-08-01,1000026,order,163.5
2016-08-01,1000027,order,64.5576
2016-08-01,1000028,order,114.73
2016-08-01,1000029,order,135.59
2016-08-01,1000030,order,91.264
2016-08-01,1000031,order,153.576
2016-08-01,1000032,order,136.448
2016-08-01,1000033,order,214.14
2016-08-01,1000034,order,149.864
2016-08-01,1000035,order,359.8
2016-08-01,1000036,order,225.736
2016-08-01,1000037,order,82.84
2016-08-01,1000038,order,439.2
2016-08-01,1000039,order,238.896
2016-08-01,1000040,order,48.95
2016-08-01,1000041,order,137.808
2016-08-01,1000042,order,93.184
2016-08-01,1000043,order,199.28
2016-08-01,1000044,order,186.912
2016-08-01,1000045,order,147.312
2016-08-01,1000046,order,79.21
2016-08-01,1000047,order,158
2016-08-01,1000048,order,72.98
2016-08-01,1000049,order,57.85
2016-08-01,1000050,order,160.2
2016-08-02,1000051,order,287.84
2016-08-02,1000052,order,188.496
2016-08-02,1000053,order,141.7
2016-08-02,1000054,order,337.98
2016-08-02,1000055,order,194.02
2016-08-02,1000056,order,127.53
2016-08-02,1000057,order,160.064
2016-08-02,1000058,order,97.344
2016-08-02,1000059,order,140.864
2016-08-02,1000060,order,222.5
2016-08-02,1000061,order,161.32
2016-08-02,1000062,order,128.304
2016-08-02,1000063,order,116.928
2016-08-02,1000064,order,86.376
2016-08-02,1000065,order,266.96
2016-08-02,1000066,order,199.752
2016-08-02,1000067,order,167.0148
2016-08-03,1000025,return,-21.6
2016-08-03,1000068,order,149.408
2016-08-03,1000069,order,81.2
2016-08-03,1000070,order,309.1584
2016-08-03,1000071,order,180.518
2016-08-03,1000072,order,75.0264
2016-08-03,1000073,order,213.568
2016-08-04,1000015,order,322.64
2016-08-04,1000015,return,-95.92
2016-08-04,1000046,return,-20.54
2016-08-04,1000074,order,370.8
2016-08-04,1000075,order,258.4
2016-08-04,1000076,order,219.24
2016-08-05,1000077,order,172.752
2016-08-05,1000078,order,123.71
2016-08-06,1000079,order,163.944
2016-08-06,1000080,order,105.02
2016-08-06,1000081,order,534.141
2016-08-06,1000082,order,120.96
2016-08-07,1000083,order,187.74
2016-08-07,1000084,order,269.28
2016-08-07,1000085,order,416.52
2016-08-07,1000086,order,50.752
2016-08-07,1000087,order,129
2016-08-07,1000088,order,93.74
2016-08-07,1000089,order,326.39
2016-08-08,1000031,order,539.55
2016-08-08,1000090,order,154.84
2016-08-08,1000091,order,163.9
2016-08-08,1000092,order,245.64
2016-08-09,1000093,order,88.97
2016-08-09,1000094,order,237.006
