day,customer_id,sale_kind,total_sales,,,
2016-07-31,1000001,order,137.34,,,
2016-08-01,1000002,order,172.66,,,
2016-08-01,1000003,order,256.32,,,
2016-08-01,1000004,order,140.62,,,
2016-08-01,1000005,order,422.92,,,
2016-08-01,1000006,order,202.74,,,
2016-08-01,1000007,order,188.352,,,
2016-08-01,1000008,order,102.9432,,,
2016-08-01,1000009,order,426.14,,,
2016-08-01,1000010,order,334.544,,, 
2016-08-01,1000011,order,538.56,,,
2016-08-01,1000012,order,253.952,,,
2016-08-01,1000013,order,392.832,,,
2016-08-01,1000014,order,213.6,,,
2016-08-01,1000015,order,135.16,,,
2016-08-01,1000016,order,278.144,,,
2016-08-01,1000017,order,425.472,,,
2016-08-01,1000018,order,505.76,,,
2016-08-01,1000019,order,457.8,,,
2016-08-01,1000020,order,263.78,,,
2016-08-01,1000021,order,222.976,,,
2016-08-01,1000022,order,277.0688,,,
2016-08-01,1000023,order,234.624,,,
2016-08-01,1000024,order,717.12,,,
2016-08-01,1000025,order,139.52,,,
2016-08-01,1000026,order,124.26,,,
2016-08-01,1000027,order,202.3968,,,
2016-08-01,1000028,order,363.56,,,
2016-08-01,1000029,order,303.96,,,
2016-08-01,1000030,order,103.168,,,
2016-08-01,1000031,order,371.616,,,
2016-08-01,1000032,order,288.64,,,
2016-08-01,1000033,order,603.72,,,
2016-08-01,1000034,order,272.48,,,
2016-08-01,1000035,order,637.36,,,
2016-08-01,1000036,order,194.88,,,
2016-08-01,1000037,order,174.4,,,
2016-08-01,1000038,order,680.76,,,
2016-08-01,1000039,order,257.856,,,
2016-08-01,1000040,order,208.26,,,
2016-08-01,1000041,order,565.488,,,
2016-08-01,1000042,order,217.984,,,
2016-08-01,1000043,order,1037.76,,,
2016-08-01,1000044,order,468.864,,,
2016-08-01,1000045,order,218.592,,,
2016-08-01,1000046,order,181.56,,,
2016-08-01,1000047,order,404.48,,,
2016-08-01,1000048,order,122.82,,,
2016-08-01,1000049,order,149.52,,,
2016-08-01,1000050,order,352.44,,,
2016-08-02,1000051,order,509.888,,,
2016-08-02,1000052,order,256.608,,,
2016-08-02,1000053,order,318.28,,,
2016-08-02,1000054,order,485.04,,,
2016-08-02,1000055,order,441.44,,,
2016-08-02,1000056,order,298.66,,,
2016-08-02,1000057,order,191.552,,,
2016-08-02,1000058,order,212.992,,,
2016-08-02,1000059,order,261.888,,,
2016-08-02,1000060,order,487.72,,,
2016-08-02,1000061,order,523.2,,,
2016-08-02,1000062,order,389.664,,,
2016-08-02,1000063,order,308.56,,,
2016-08-02,1000064,order,354.288,,,
2016-08-02,1000065,order,902.4,,,
2016-08-02,1000066,order,444.976,,,
2016-08-02,1000067,order,337.3044,,,
2016-08-03,1000025,return,-20.4,,,
2016-08-03,1000068,order,198.128,,,
2016-08-03,1000069,order,337.792,,,
2016-08-03,1000070,order,484.224,,,
2016-08-03,1000071,order,194.142,,,
2016-08-03,1000072,order,181.4592,,,
2016-08-03,1000073,order,884.352,,,
2016-08-04,1000015,order,270.32,,,
2016-08-04,1000015,return,-113.36,,,
2016-08-04,1000046,return,-32.232,,,
2016-08-04,1000074,order,428.48,,,
2016-08-04,1000075,order,858.8,,,
2016-08-04,1000076,order,315.056,,,
2016-08-05,1000077,order,295.728,,,
2016-08-05,1000078,order,233.18,,,
2016-08-06,1000079,order,594,,,
2016-08-06,1000080,order,211.82,,,
2016-08-06,1000081,order,892.674,,,
2016-08-06,1000082,order,122.112,,,
2016-08-07,1000083,order,441.04,,,
2016-08-07,1000084,order,328.68,,,
2016-08-07,1000085,order,704.88,,,
2016-08-07,1000086,order,204.672,,,
2016-08-07,1000087,order,252.84,,,
2016-08-07,1000088,order,220.18,,,
2016-08-07,1000089,order,621.94,,,
2016-08-08,1000031,order,1475.1,,,
2016-08-08,1000090,order,376.04,,,
2016-08-08,1000091,order,387.4,,,
2016-08-08,1000092,order,178,,,
2016-08-09,1000093,order,292.33,,,
2016-08-09,1000094,order,181.764,,,
2016-08-09,1000095,order,244.16,,,
2016-08-10,1000096,order,319.412,,,
2016-08-11,1000073,order,570.24,,,
2016-08-11,1000097,order,220.72,,,
2016-08-11,1000098,order,248.52,,,
2016-08-11,1000099,order,328.44,,,
2016-08-12,1000073,order,384.12,,,
2016-08-12,1000073,return,-518.76,,,
2016-08-12,1000100,order,333.2,,,
2016-08-13,1000073,order,506.88,,,
2016-08-14,1000101,order,825.46,,,
2016-08-14,1000102,order,931.98,,,
2016-08-16,1000103,order,1156.32,,,
2016-08-18,1000099,order,1068,,,
2016-08-19,1000104,order,222.5,,,
2016-08-21,1000105,order,343.14,,,
2016-08-22,1000106,order,309.4904,,,
2016-08-22,1000107,order,456.192,,,
2016-08-23,1000039,return,-254.064,,,
2016-08-23,1000056,order,384.42,,,
2016-08-23,1000108,order,213.6,,,
2016-08-23,1000109,order,264.19,,,
2016-08-24,1000110,order,298.66,,,
2016-08-25,1000111,order,239.8,,,
2016-08-25,1000112,order,419.76,,,
2016-08-26,1000105,order,223.696,,,
2016-08-26,1000113,order,264.19,,,
2016-08-27,1000111,order,183.12,,,
2016-08-27,1000114,order,337.376,,,
2016-08-27,1000115,order,366.36,,,
2016-08-29,1000116,order,259.88,,,
2016-08-29,1000117,order,135.24,,,
2016-08-30,1000118,order,248.55,,,
2016-08-31,1000015,return,-223.74,,,
2016-08-31,1000093,return,-137.088,,,
2016-09-02,1000119,order,301.808,,,
2016-09-04,1000120,order,508.86,,,
2016-09-04,1000121,order,248.52,,,
2016-09-06,1000122,order,444.02,,,
2016-09-07,1000123,order,345.68,,,
2016-09-10,1000124,order,205.956,,,
2016-09-10,1000125,order,374.868,,,
2016-09-10,1000126,order,186.9,,,
2016-09-13,1000074,return,-283.696,,,
2016-09-13,1000097,return,-259.88,,,
2016-09-13,1000127,order,307.662,,,
2016-09-15,1000128,order,424.116,,,
2016-09-15,1000129,order,209.28,,,
2016-09-15,1000130,order,792.5,,,
2016-09-17,1000131,order,1428.92,,,
2016-09-18,1000132,order,434.808,,,
2016-09-18,1000133,order,257.24,,,
2016-09-19,1000134,order,303.298,,,
2016-09-20,1000135,order,235.44,,,
2016-09-20,1000136,order,647.01,,,
2016-09-20,1000137,order,384.12,,,
2016-09-22,1000136,order,586.08,,,
2016-09-23,1000076,order,298.66,,,
2016-09-23,1000138,order,226.356,,,
2016-09-26,1000099,return,-304.92,,,
2016-09-26,1000139,order,167.3504,,,
2016-09-27,1000140,order,309.56,,,
2016-09-28,1000014,order,851.16,,,
2016-09-28,1000141,order,360.36,,,
2016-09-28,1000142,order,185.566,,,
2016-09-29,1000143,order,1392.3,,,
2016-10-01,1000144,order,678.096,,,
2016-10-01,1000145,order,281.24,,,
2016-10-01,1000146,order,178.76,,,
