day,customer_id,sale_kind,total_sales
2016-07-31,1000001,order,233.805
2016-08-01,1000002,order,188.235
2016-08-01,1000003,order,258.99
2016-08-01,1000004,order,133.5
2016-08-01,1000005,order,480.69
2016-08-01,1000006,order,163.5
2016-08-01,1000007,order,366.24
2016-08-01,1000008,order,111.231
2016-08-01,1000009,order,272.67
2016-08-01,1000010,order,260.652
2016-08-01,1000011,order,249.48
2016-08-01,1000012,order,147.312
2016-08-01,1000013,order,173.448
2016-08-01,1000014,order,376.47
2016-08-01,1000015,order,223.995
2016-08-01,1000016,order,263.712
2016-08-01,1000017,order,472.008
2016-08-01,1000018,order,438.18
2016-08-01,1000019,order,451.26
2016-08-01,1000020,order,93.195
2016-08-01,1000021,order,187.2
2016-08-01,1000022,order,240.2706
2016-08-01,1000023,order,168.48
2016-08-01,1000024,order,592.62
2016-08-01,1000025,order,85.02
2016-08-01,1000026,order,165.135
2016-08-01,1000027,order,155.7234
2016-08-01,1000028,order,169.86
2016-08-01,1000029,order,281.61
2016-08-01,1000030,order,200.88
2016-08-01,1000031,order,278.712
2016-08-01,1000032,order,192.864
2016-08-01,1000033,order,278.64
2016-08-01,1000034,order,296.322
2016-08-01,1000035,order,451.035
2016-08-01,1000036,order,133.98
2016-08-01,1000037,order,117.72
2016-08-01,1000038,order,532.53
2016-08-01,1000039,order,318.528
2016-08-01,1000040,order,190.905
2016-08-01,1000041,order,445.5
2016-08-01,1000042,order,147.264
2016-08-01,1000043,order,547.08
2016-08-01,1000044,order,152.064
2016-08-01,1000045,order,335.016
2016-08-01,1000046,order,177.555
2016-08-01,1000047,order,154.05
2016-08-01,1000048,order,162.87
2016-08-01,1000049,order,101.46
2016-08-01,1000050,order,381.81
2016-08-02,1000051,order,370.08
2016-08-02,1000052,order,199.584
2016-08-02,1000053,order,160.23
2016-08-02,1000054,order,406.35
2016-08-02,1000055,order,141.51
2016-08-02,1000056,order,132.435
2016-08-02,1000057,order,165.312
2016-08-02,1000058,order,72.384
2016-08-02,1000059,order,175.584
2016-08-02,1000060,order,136.17
2016-08-02,1000061,order,317.19
2016-08-02,1000062,order,128.304
2016-08-02,1000063,order,209.496
2016-08-02,1000064,order,322.812
2016-08-02,1000065,order,530.16
2016-08-02,1000066,order,192.444
2016-08-02,1000067,order,174.3831
2016-08-03,1000025,return,-25.5
2016-08-03,1000068,order,358.092
2016-08-03,1000069,order,253.344
2016-08-03,1000070,order,586.656
2016-08-03,1000071,order,339.7485
2016-08-03,1000072,order,193.6728
2016-08-03,1000073,order,541.44
2016-08-04,1000015,order,271.41
2016-08-04,1000015,return,-210.915
2016-08-04,1000046,return,-14.22
2016-08-04,1000074,order,537.66
2016-08-04,1000075,order,695.4
2016-08-04,1000076,order,246.036
2016-08-05,1000077,order,325.008
2016-08-05,1000078,order,125.49
2016-08-06,1000079,order,413.424
2016-08-06,1000080,order,126.825
2016-08-06,1000081,order,625.6035
2016-08-06,1000082,order,157.248
2016-08-07,1000083,order,212.325
2016-08-07,1000084,order,392.04
2016-08-07,1000085,order,619.44
2016-08-07,1000086,order,128.544
2016-08-07,1000087,order,112.23
2016-08-07,1000088,order,240.345
2016-08-07,1000089,order,416.34
2016-08-08,1000031,order,1002.375
2016-08-08,1000090,order,154.05
2016-08-08,1000091,order,232.44
2016-08-08,1000092,order,379.14
2016-08-09,1000093,order,135.3615
2016-08-09,1000094,order,280.665
2016-08-09,1000095,order,103.005
2016-08-10,1000096,order,142.716
2016-08-11,1000073,order,338.58
2016-08-11,1000097,order,312.39
2016-08-11,1000098,order,204.375
2016-08-11,1000099,order,178.5
2016-08-12,1000073,order,347.49
2016-08-12,1000073,return,-338.58
2016-08-12,1000100,order,435.54
2016-08-13,1000073,order,329.67
2016-08-14,1000101,order,606.63
2016-08-14,1000102,order,679.965
2016-08-16,1000103,order,297
2016-08-18,1000099,order,1025.28
2016-08-19,1000104,order,161.535
2016-08-21,1000105,order,191.565
2016-08-22,1000106,order,290.8464
2016-08-22,1000107,order,318.087
2016-08-23,1000039,return,-261.648
2016-08-23,1000056,order,108.36
2016-08-23,1000108,order,168.21
2016-08-23,1000109,order,110.6865
2016-08-24,1000110,order,233.805
2016-08-25,1000111,order,178.215
2016-08-25,1000112,order,395.01
2016-08-26,1000105,order,137.268
2016-08-26,1000113,order,146.2155
2016-08-27,1000111,order,101.37
2016-08-27,1000114,order,145.98
2016-08-27,1000115,order,193.5
2016-08-29,1000116,order,301.71
2016-08-29,1000117,order,137.655
2016-08-30,1000118,order,223.695
2016-08-31,1000015,return,-130.68
2016-08-31,1000093,return,-94.7835
2016-09-02,1000119,order,193.7085
2016-09-04,1000120,order,395.523
2016-09-04,1000121,order,212.55
2016-09-06,1000122,order,265.965
2016-09-07,1000123,order,319.605
2016-09-10,1000124,order,245.4309
2016-09-10,1000125,order,129.762
2016-09-10,1000126,order,198.915
2016-09-13,1000074,return,-188.496
2016-09-13,1000097,return,-226.95
2016-09-13,1000127,order,94.917
2016-09-15,1000128,order,573.5205
2016-09-15,1000129,order,120.99
2016-09-15,1000130,order,675.21
2016-09-17,1000131,order,1087.11
2016-09-18,1000132,order,240.57
2016-09-18,1000133,order,150.42
2016-09-19,1000134,order,145.6485
2016-09-20,1000135,order,91.56
2016-09-20,1000136,order,411.5475
2016-09-20,1000137,order,332.64
2016-09-22,1000136,order,430.65
2016-09-23,1000076,order,170.04
2016-09-23,1000138,order,124.0605
2016-09-26,1000099,return,-201.96
2016-09-26,1000139,order,255.0744
2016-09-27,1000140,order,156.96
2016-09-28,1000014,order,768.12
2016-09-28,1000141,order,225.72
2016-09-28,1000142,order,125.829
2016-09-29,1000143,order,433.755
2016-10-01,1000144,order,519.7905
2016-10-01,1000145,order,251.22
2016-10-01,1000146,order,83.385
2016-10-02,1000147,order,288.36
2016-10-04,1000148,order,433.62
2016-10-05,1000031,order,596.97
2016-10-05,1000121,order,232.44
2016-10-05,1000149,order,124.374
2016-10-06,1000150,order,120.528
2016-10-08,1000151,order,103.0995
2016-10-08,1000152,order,240.219
2016-10-08,1000153,order,113.2434
2016-10-10,1000132,return,-180.4275
2016-10-10,1000154,order,127.53
2016-10-11,1000155,order,206.199
2016-10-12,1000156,order,284.202
2016-10-14,1000157,order,106.524
2016-10-14,1000158,order,174.0306
2016-10-14,1000159,order,258.7704
2016-10-14,1000160,order,246.3546
2016-10-14,1000161,order,314.82
2016-10-14,1000162,order,175.584
2016-10-14,1000162,return,-130.3305
2016-10-14,1000163,order,178.347
2016-10-14,1000164,order,216.276
2016-10-14,1000165,order,167.3718
2016-10-14,1000166,order,153.33
2016-10-14,1000167,order,83.928
